customerID,gender,SeniorCitizen,Partner,Dependents,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
5365,0,0,1,0,1,0,0,2,0,0,0,0,0,1,2,0
3953,1,0,0,0,0,0,2,0,2,0,0,0,1,0,3,0
2558,1,0,0,0,0,0,2,2,0,0,0,0,0,1,3,1
5524,1,0,0,0,1,0,2,0,2,2,0,0,1,0,0,0
6500,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1
6540,0,0,0,0,2,1,0,0,2,0,2,2,0,1,2,1
1001,1,0,0,1,2,1,0,2,0,0,2,0,0,1,1,0
4760,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0
5593,0,0,1,0,2,1,0,0,2,2,2,2,0,1,2,1
4524,1,0,0,1,0,0,2,2,0,0,0,0,1,0,0,0
6860,1,0,1,1,0,0,2,0,0,0,0,0,0,1,3,0
5278,1,0,0,0,0,2,1,1,1,1,1,1,2,0,1,0
5740,1,0,1,0,2,1,0,0,2,0,2,2,1,0,1,0
174,1,0,0,0,2,1,0,2,2,0,2,2,0,1,0,1
3606,1,0,0,0,0,1,2,0,2,2,2,2,0,1,2,0
2550,0,0,1,1,2,1,2,2,2,2,2,2,2,0,1,0
5809,0,0,0,0,0,2,1,1,1,1,1,1,1,0,3,0
7008,1,0,0,1,2,1,2,0,2,0,2,2,2,0,0,0
2930,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1
2921,0,0,0,0,0,1,0,2,2,0,0,2,0,1,2,0
6196,1,1,0,0,1,0,0,0,2,0,0,2,0,1,2,1
1140,1,0,1,0,0,2,1,1,1,1,1,1,1,0,0,0
723,1,0,0,0,0,2,1,1,1,1,1,1,0,0,3,1
2535,0,0,1,0,2,0,0,2,0,2,0,0,2,1,1,0
4469,1,0,1,1,0,0,2,2,0,2,0,0,0,0,1,0
4863,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0
4574,1,0,1,1,2,1,0,2,0,0,2,2,0,1,2,1
6108,1,0,1,1,1,0,0,2,0,0,0,0,0,0,2,1
3724,1,0,1,0,2,0,2,2,2,2,2,2,2,1,1,0
6188,0,0,0,1,0,0,0,0,0,0,2,2,0,1,3,1
2694,0,1,1,0,2,1,2,2,2,2,0,0,2,1,1,0
3472,1,1,1,0,0,1,0,0,2,0,2,2,0,1,1,0
4834,0,0,1,1,0,0,2,2,2,2,0,0,1,0,3,0
5184,1,0,0,0,0,2,1,1,1,1,1,1,0,0,0,0
2378,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4413,0,0,1,1,2,1,2,2,0,2,2,0,2,0,0,0
4282,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1
4646,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0
3819,1,0,0,0,2,1,0,2,2,0,2,2,0,1,2,1
5792,0,0,0,0,2,1,0,0,2,0,2,2,0,1,0,1
6252,1,0,1,1,0,0,0,2,0,0,0,0,1,0,3,0
6660,0,0,1,1,2,0,2,2,0,0,2,0,2,1,1,0
6945,0,0,1,1,0,2,1,1,1,1,1,1,1,0,3,0
3259,0,0,0,0,2,0,2,2,2,2,2,0,2,1,1,0
2855,0,0,1,0,2,0,2,2,0,2,2,0,0,1,2,0
2593,0,0,0,0,2,1,0,0,0,0,0,2,0,1,2,0
4202,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0
5499,0,0,0,0,0,1,0,0,0,0,2,0,0,1,2,1
5417,1,0,0,0,2,0,2,0,0,2,2,2,2,1,1,0
2043,0,0,1,1,2,0,2,0,2,2,0,0,2,1,1,0
5675,0,1,0,0,2,1,0,2,0,0,2,0,0,1,2,0
6619,0,0,0,0,0,1,2,2,0,0,2,2,0,1,1,1
4648,0,1,1,0,2,0,2,0,0,2,2,0,0,1,1,0
5295,0,1,1,0,2,1,0,2,0,0,0,0,0,1,1,1
3256,0,1,1,1,0,0,2,2,2,2,0,2,1,1,1,0
1128,1,1,0,0,2,1,0,0,0,0,2,2,0,1,2,1
6187,0,0,1,1,2,1,2,0,0,0,2,2,1,1,1,0
3569,1,1,1,1,2,1,0,2,2,2,2,2,1,1,2,0
2777,0,0,1,1,2,2,1,1,1,1,1,1,2,0,1,0
4208,0,0,0,0,2,1,0,0,2,2,2,2,2,1,1,0
295,0,0,1,0,2,1,0,0,2,0,2,2,0,1,2,0
832,1,0,0,0,2,1,0,2,0,0,2,0,0,1,0,0
358,1,0,1,0,1,0,2,2,2,0,0,0,2,0,0,0
374,0,0,1,1,0,0,0,0,2,2,0,0,1,1,1,0
4034,0,0,0,0,2,1,0,0,0,0,2,2,0,0,2,1
3600,0,0,0,0,0,0,0,2,0,2,2,2,0,1,2,0
6079,1,0,1,0,2,1,0,2,0,0,0,0,1,1,2,0
2376,0,0,0,0,0,0,0,2,2,2,2,2,2,0,3,0
2210,0,0,1,1,0,2,1,1,1,1,1,1,2,0,0,0
5252,1,0,0,0,0,1,2,0,2,0,0,0,0,1,3,0
1561,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
501,0,0,1,1,0,2,1,1,1,1,1,1,1,1,2,0
1271,1,1,1,1,2,1,2,0,2,2,2,2,2,1,0,0
5686,1,0,1,1,2,2,1,1,1,1,1,1,2,1,0,0
3985,0,0,0,1,0,0,2,0,0,2,0,2,0,1,0,0
1834,0,1,0,0,2,1,2,2,2,0,2,2,1,0,2,0
4540,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
3961,0,0,1,1,0,0,2,2,0,0,0,0,0,0,3,0
108,1,1,0,0,0,0,2,2,0,0,2,2,0,1,2,0
2725,0,0,1,1,2,2,1,1,1,1,1,1,1,1,1,0
4181,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,1
5755,0,0,1,1,1,0,2,0,0,0,2,2,0,0,2,0
6477,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,1
6978,0,0,0,0,0,1,0,2,2,2,2,2,0,1,0,0
202,0,0,1,0,0,2,1,1,1,1,1,1,2,1,0,0
3092,1,0,0,0,2,1,0,2,0,0,2,2,0,1,1,0
3367,0,0,1,0,0,0,2,0,0,0,2,0,1,1,0,0
1257,0,0,1,1,0,2,1,1,1,1,1,1,2,0,0,0
1917,0,0,1,1,0,2,1,1,1,1,1,1,2,1,3,0
2099,1,0,1,0,1,0,0,0,0,0,2,0,0,0,3,0
3336,1,0,1,1,0,1,0,2,2,0,0,0,0,0,0,0
1662,1,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0
5127,1,0,1,1,2,0,2,0,2,2,2,2,2,1,3,0
4295,0,0,0,0,2,1,2,2,2,0,2,2,0,1,1,0
6934,1,0,0,0,2,1,0,2,2,0,2,2,2,1,0,0
6088,0,0,0,0,2,1,2,0,0,0,0,0,0,1,2,1
6897,1,0,1,1,2,0,2,2,0,2,0,0,1,1,1,0
173,1,0,0,0,0,2,1,1,1,1,1,1,0,0,3,1
2244,1,0,0,0,0,2,1,1,1,1,1,1,2,0,0,0
3199,0,1,1,0,0,1,0,2,2,0,2,2,0,1,2,1
4520,1,0,0,0,0,2,1,1,1,1,1,1,0,0,3,0
2569,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2,0
5054,1,0,0,0,2,1,0,0,2,2,2,0,1,0,0,0
3826,0,1,1,0,1,0,0,2,2,0,2,0,1,0,0,0
2228,1,0,1,0,2,1,0,2,2,2,2,2,2,1,0,1
4376,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
4772,0,0,1,1,2,1,2,2,0,0,2,2,1,1,2,0
6852,0,0,0,0,1,0,2,0,0,0,0,0,1,0,3,0
6056,1,0,0,0,2,1,0,0,0,0,2,2,1,0,3,0
1965,1,0,1,1,0,2,1,1,1,1,1,1,2,0,1,0
327,1,0,1,0,2,1,2,2,0,0,2,0,0,1,2,1
3164,0,0,0,0,0,0,2,0,2,2,0,0,1,0,1,0
4045,0,0,0,0,0,1,0,2,2,0,2,0,0,1,2,0
3410,0,1,1,0,2,1,0,0,0,0,0,0,0,1,2,1
3726,0,0,1,1,1,0,0,2,0,2,2,2,2,1,2,0
2138,1,0,1,1,0,1,2,2,0,0,2,0,0,0,2,0
6721,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0
3754,0,0,1,1,2,1,2,0,0,0,2,2,0,1,2,1
5950,0,0,0,0,0,2,1,1,1,1,1,1,2,0,3,0
